DiabetesSTDEV,Lila 1 and 10,pop 2010,Urban,LowIncomeTracts,Average of percent,Average of lower confidence limit,Average of upper confidence limit,Statelist,CONCAT
0,0,14202,0,0,6.5,4.5125,9.05,5,212
0,0,415057,1,0,6.7875,5.275,8.575,5,213
0,0,136484,1,0,7.0875,5.2875,9.275,5,214
0,0,98764,1,0,7.025,5.2125,9.2125,5,215
0,0,3010232,1,0,6.55,5.7375,7.4375,5,216
0,0,348432,1,0,6.8625,5.4,8.5875,5,217
0,0,20007,0,0,8.2875,6,11.1625,5,218
0,0,2189641,1,0,8.075,6.975,9.275,5,219
0,0,1418788,1,0,7.975,6.825,9.25,5,220
0,0,55269,1,1,6.625,4.725,9.1,5,221
0,0,2035210,1,0,7.7625,6.65,9.05,5,222
0,0,3095313,1,0,6.7375,5.9625,7.6375,5,223
0,0,805235,1,0,7.4375,6.0875,9.0125,5,224
0,0,685306,1,0,7.7125,6.3,9.4,5,225
0,0,269637,1,0,6.6625,5.175,8.4625,5,226
0,0,718451,1,0,6.975,5.625,8.5,5,227
0,0,423895,1,0,6.7375,5.3,8.4375,5,228
0,0,1781642,1,0,7.1,6.025,8.275,5,229
0,0,262382,1,0,6.0625,4.5875,7.8125,5,230
0,0,177223,1,1,8,6.1875,10.1375,5,231
0,0,3240,0,0,8.45,5.875,11.7875,5,232
0,0,44900,0,1,8.35,6.175,11.0875,5,233
0,0,413344,1,0,9.5875,7.6,11.9125,5,234
0,0,483878,1,0,6.375,5.0875,7.875,5,235
0,0,514453,1,1,8.0375,6.4125,9.95,5,236
0,0,94737,1,0,7.7875,5.775,10.3,5,237
0,0,63463,0,1,8.0875,5.9625,10.75,5,238
0,0,13786,0,1,9.0375,6.575,12.2875,5,239
0,0,442179,1,1,7.3375,5.675,9.425,5,240
0,0,55365,0,0,7.5625,5.575,9.9875,5,241
0,0,823318,1,0,7.0375,5.7125,8.575,5,242
0,0,200849,1,0,6.5375,4.95,8.4875,5,243
0,0,72155,1,1,7.025,5.1375,9.4,5,244
0,0,441603,1,0,6.1625,5.2625,7.1375,6,245
0,1,15445,1,1,5.625,4.175,7.4375,6,246
0,0,572003,1,0,5.6375,4.9,6.425,6,247
0,0,12084,0,0,5.525,3.975,7.45,6,248
0,1,3788,0,1,7.5125,5.3625,10.225,6,249
0,1,6499,0,1,5.8,4.1125,7.9,6,250
0,0,294567,1,0,4.0375,3.325,4.875,6,251
0,0,55889,1,0,4.55,3.3375,6,6,252
0,0,17809,0,1,5.6125,4.175,7.3375,6,253
0,0,1836,0,0,6.3375,4.2625,9.025,6,254
0,0,9088,0,0,5.15,3.6,7.1125,6,255
0,0,8256,0,1,5.9125,4.2375,8.0375,6,256
0,1,3524,0,1,7.175,5.1125,9.75,6,257
0,1,5823,0,1,5.25,3.6625,7.3125,6,258
0,1,4255,0,1,6.725,4.725,9.2375,6,259
0,0,30952,0,1,6.7375,5.175,8.5875,6,260
0,0,600158,1,1,5.2,4.575,5.9125,6,261
0,0,2064,0,1,6.0625,4.1375,8.3875,6,262
0,0,285465,1,0,3.7,2.9625,4.525,6,263
0,0,52197,0,0,3.2875,2.325,4.55,6,264
0,0,622263,1,0,5.4875,4.8,6.225,6,265
0,0,23086,0,0,4.6,3.4,6.1375,6,266
0,0,46824,1,1,6.75,5.35,8.3625,6,267
0,0,56389,0,0,4.7125,3.5625,6.1375,6,268
0,0,5441,0,0,5.1875,3.6,7.325,6,269
0,0,14843,0,0,4.725,3.2875,6.5,6,270
0,0,15324,0,0,3.8625,2.7125,5.4125,6,271
0,0,843,0,0,6.275,3.9625,9.1625,6,272
0,0,6711,1,1,6.85,4.975,9.1375,6,273
0,0,1394,0,1,6.55,4.55,8.9625,6,274
0,0,534543,1,0,5.2875,4.6,6,6,275
0,0,1398,0,0,7.025,4.7,9.9375,6,276
0,1,8270,0,1,6.3,4.5875,8.45,6,277
0,0,51334,0,0,4.55,3.45,5.8375,6,278
0,1,7310,1,1,4.425,3.025,6.2375,6,279
0,0,299630,1,0,4.6125,3.8375,5.475,6,280
0,0,15507,1,1,6.5875,4.875,8.6625,6,281
0,1,5467,0,1,6.4,4.625,8.575,6,282
0,0,22709,0,1,5.9625,4.45,7.7875,6,283
0,0,146723,1,0,5.9,4.825,7.0875,6,284
0,0,712,0,0,6.35,4.15,9.0625,6,285
0,0,13795,1,0,5.55,4.05,7.3625,6,286
0,0,25535,0,1,6.2375,4.7375,8.0625,6,287
0,0,41276,0,1,5.6375,4.325,7.2,6,288
0,0,28159,1,1,6.475,4.9125,8.375,6,289
0,0,18831,0,1,6.675,5.0125,8.65,6,290
0,0,4436,0,0,6.1875,4.3,8.5875,6,291
0,0,16206,0,0,4.975,3.5875,6.65,6,292
0,0,4442,0,1,7.0125,4.95,9.675,6,293
0,0,17148,0,0,4.475,3.1875,6.1,6,294
0,1,12551,0,1,6.05,4.4,8.1125,6,295
0,0,159063,1,1,7.25,6.025,8.6375,6,296
0,0,6666,0,0,5.5,3.875,7.475,6,297
0,0,11982,0,1,6.3375,4.6375,8.425,6,298
0,0,23509,0,0,3.575,2.5375,4.8625,6,299
0,1,6108,0,1,5.275,3.7125,7.325,6,300
0,0,699,0,0,5.2875,3.0375,8.1375,6,301
0,0,7359,0,0,4.1625,2.775,5.975,6,302
0,0,2379,0,1,6.9125,4.8125,9.4875,6,303
0,0,27994,0,0,3.5,2.425,4.9125,6,304
0,0,23350,0,0,5.6875,4.3125,7.325,6,305
0,1,4814,0,1,6.725,4.775,9.225,6,306
0,0,252825,1,0,5.2625,4.325,6.3375,6,307
0,1,10043,0,1,5.9875,4.3125,8.075,6,308
0,0,916829,1,0,6.425,5.8625,7.025,7,309
